name,cuisine,latitude,longitude,address,rating,review_count,price,postal_code
Jian Bo Shui Kueh,Singaporean,1.284768,103.832378,"30 Seng Poh Rd, #02-05, Singapore 168898, Singapore]",4.5,16,$,168898
Bernard's Kitchen,Singaporean,1.28184,103.8293381,"127 Kim Tian Road, Singapore 160127, Singapore]",4,1,$,160127
SocialHaus,Singaporean,1.282769122,103.8302078,"11 Yong Siak Street, Singapore 168646, Singapore]",2.5,5,$$,168646
Thai Express,Thai,1.286328725,103.8276025,"298 Tiong Bahru Road, Singapore 168730, Singapore]",4,1,$$,168730
IKYU,French,1.2825899,103.83035,"5 Yong Siak St, Singapore 168643, Singapore]",4,20,$$$,168643
Ah bong's Italian,Italian,1.2842799,103.8338318,"56 Eng Hoon Street, #01-46, Singapore 160056, Singapore]",3.5,5,$,160056
Chapter 55,Italian,1.28444,103.834137,"55 Tiong Bahru Rd, #01-37, Singapore 160055, Singapore]",4,12,$$,160055
Nagae,Japanese,1.29041,103.8350296,"392 Havelock Road, Singapore 169663, Singapore]",4,7,$$$,169663
Bincho at Hua Bee,Japanese,1.283741,103.8304062,"78 Moh Guan Terrace, #01-19, Singapore 162078, Singapore]",4,15,$$$,162078
Coq & Balls,Japanese,1.2852519,103.8292453,"6 Kim Tian Rd, Kai Fook Mansion, Singapore 169246, Singapore]",4,13,$$$,169246
Tiong Bahru Bakery,Malay,1.28428,103.83383,"56 Eng Hoon St, #01-70, Singapore 160056, Singapore]",4,69,$$,160056
Bigmama,Malay,1.28527,103.829277,"2 Kim Tian Road, Singapore 169244, Singapore]",4,17,$$$,169244
Blue Garden Korean BBQ Buffet Restaurant,Korean,1.28478,103.8343735,"50 Tiong Bahru Road #01-07 Link Hotel, Singapore 168733, Singapore]",3,4,$$,168733
Tiong Bahru Lee Hong Kee Cantonese Roasted,Cantonese,1.283704024,103.8312545,"30 Seng Poh Road, #02-60, Singapore 168898, Singapore]",4,6,$,168898
Ya Hua Bak Kut Teh,Chinese,1.28927,103.8319999,"593 Havelock Rd, #01-01/02, Singapore 169641, Singapore]",4,10,$$,169641
Tian Tian Seafood Restaurant,Chinese,1.284649083,103.8349631,"239 Outram Rd, Singapore 169042, Singapore]",4.5,2,$$,169042
cheng's @ 27,Chinese,1.283130214,103.8299383,"27 Yong Siak St, Singapore 168654, Singapore]",3.5,12,$$,168654
Lung Kee,Chinese,1.28483,103.8333893,"57 Eng Hoon Street, #01-72, Singapore 160057, Singapore]",5,1,$$,160057
Peach Garden,Chinese,1.28853,103.837394,"401 Havelock Rd, Level 3, Singapore 169631, Singapore]",3.5,8,$$$,169631
Mu Liang Zai Liang Kee,Chinese,1.289350743,103.828036,"719 Havelock Rd, Singapore 161053, Singapore]",4,2,$$$,161053
Ka-Soh Seafood Restaurant,Chinese,1.282488156,103.835898,"2 College Road, Alumni Medical Centre, Singapore 169850, Singapore]",3.5,6,$$$,169850
