name,cuisine,latitude,longitude,address,rating,review_count,price,postal_code,
Afterwit,mexican,1.30354,103.85992,778 North Bridge Rd,4,6,$$,198746,
Ah Bong's Italian,italian,1.297877959,103.857126,103 Beach Rd,4,2,$$,189704,
Ajisen Ramen,japanese,1.300394935,103.8547897,200 Victoria St,2.5,3,$,188021,
Alaturka,mediterranean,1.301179,103.8599691,15 Bussorah St,3.5,21,$$,199437,
Ambrosia,mediterranean,1.30136,103.8597183,19 & 25a Baghdad St,1.5,2,$$$,199658,
Amirah's Grill Restaurant & Cafe,mediterranean,1.3012,103.8600769,14 Bussorah Street,2.5,5,$$,199435,
Arirang Korean Restaurant,korean,1.29772,103.8565292,1 Liang Seah Street,3.5,3,$$,189022,
Aroy Dee,thai,1.301639,103.850371,262 Middle Rd,4,14,$$,188989,
Ash & Elm,european,1.29816,103.8548,80 Middle Road,4,8,$$$,188966,
Asia Grand Restaurant,cantonese,1.295896291,103.8535348,331 North Bridge Rd,4,12,$$,188720,
Atmastel,italian,1.294411882,103.855544,26 Beach Rd,3.5,4,$$$,189768,
Bahn Beer Thai Restaurant,thai,1.30308,103.86509,5001 Beach Rd,4,11,$,199589,
Baja Fresh Mexican Grill,mexican,1.298700654,103.8490608,9 Bras Basah Rd,3,22,$$,189559,
Beach Road Kitchen,singaporean,1.2947,103.85551,30 Beach Rd,4.5,13,$$,189763,
Blanco Court Fish Bee Hoon,singaporean,1.30132,103.8615875,341 Beach Road,4,9,$,199567,
BonChon Chicken,korean,1.2997818,103.8541438,201 Victoria St,3,12,$,188067,
Bumbu,"thai, indonesian",1.3018399,103.8598709,44 Kandahar St,3.5,5,$$,198897,
Bushra Café,italian,1.30133,103.8597412,25 Baghdad Street,2.5,3,$,199664,
Chin Chin Restaurant,singaporean,1.29644,103.85562,19 Purvis Street,4,20,$,188598,
Choo Choo Chicken,korean,1.30134,103.8583069,33 Bali Lane,4,6,$$,189869,
Cicheti,italian,1.3017,103.85997,52 Kandahar St,4,34,$$$,198901,
Creperie des Arts,french,1.29995,103.8499298,44 Prinsep Street,4,4,$$$,188673,
Derwish Turkish Mediterranean Restaurant,turkish,1.3015,103.8594818,60 Bussorah Street,3,24,$$,199476,
Diandin Leluk,thai,1.30308,103.86509,5001 Beach Rd,3.5,19,$$,199588,
Din Tai Fung,chinese,1.297570454,103.8500129,51 Bras Basah Road,4.5,8,$$,189554,
El Mero Mero,mexican,1.295027,103.85249,30 Victoria St,2.5,34,$$$,187996,
El Sheikh,mediterranean,1.30214,103.8612366,18 Pahang Street,3,1,$$,198615,
el Toro,italian,1.29672,103.8550873,7 Purvis Street,4,2,$$,188586,
Entre Nous Creperie,french,1.296182555,103.8545473,27 Seah St,4.5,21,$$,188383,
Fat Bird,chinese,1.297804924,103.8565427,1 Liang Seah St,4,9,$$,189022,
Fine Palate Cafe,western,1.29826,103.851181,51 Waterloo Street,4.5,2,$$$,187969,
First Thai Food,thai,1.2962101,103.8555222,23 Purvis St,4,13,$,188600,
Folklore,singaporean,1.302405402,103.864042,700 Beach Rd,3.5,10,$$$,199598,
Food Republic,international,1.297911956,103.8499305,51 Bras Basah Rd,3,8,$,189554,
Founder Bak Kut Teh,singaporean,1.305456171,103.860212,500 Jalan Sultan,4.5,14,$$,199020,
Golden Mile Market & Food Centre,singaporean,1.303243371,103.8638737,505 Beach Road,4,13,$,199583,
Happy Crab,singaporean,1.3022323,103.8610412,13 Pahang St,4.5,11,$$$,198613,
Herbivore,japanese,1.30044,103.85225,190 Middle Rd,4.5,11,$$,188979,
Irodori Japanese Restaurant,japanese,1.30004,103.8494568,1 Selegie Road PoMo,2,1,$$$,188306,
Isle Eating House,singaporean,1.30066,103.8494034,35 Selegie Road,4.5,3,$,188307,
Istanbul Grill's & Cafe,turkish,1.301515753,103.859663,62 Bussorah Street,2.5,7,$$,199478,
J K Don,"japanese, korean",1.2965,103.8567,100 Beach Rd,3,1,$,189702,
Jai Thai,thai,1.29627,103.85532,27 Purvis St,4,21,$,188604,
Jinjja Chicken,korean,1.30036879,103.8553966,249 Victoria St,4,4,$,188032,
Joo Bar,korean,1.29816,103.85688,5 Tan Quee Lan St,4,9,$$,188094,
