,name,review,cuisine,latitude,longitude,address,rating,review_count,price,postal_code
0,136 Hong Kong Street Fish Head Steamboat,food cheap tastes ok stuff either really salty hint old dirty oil flavour though wont hurry come back,chinese,1.28145,103.845,"['291 South Bridge Rd', 'Singapore 058836', 'Singapore']",3.5,5.0,$,58836
1,136 Hong Kong Street Fish Head Steamboat,worked chinatown area walked past restaurant zillion times without ever thinking eating always looked crowded,chinese,1.28145,103.845,"['291 South Bridge Rd', 'Singapore 058836', 'Singapore']",3.5,5.0,$,58836
2,136 Hong Kong Street Fish Head Steamboat,store used neil road moved current location last year zichar steamboat airconditioned eatery dish,chinese,1.28145,103.845,"['291 South Bridge Rd', 'Singapore 058836', 'Singapore']",3.5,5.0,$,58836
3,8 Korean BBQ,recent trip singapore decided revisit place korean bbq lived singapore years ago wasnt favorite,korean,1.28870697782558,103.846671421056,"['6 Eu Tong Sen Street', '#02-70/90', 'Singapore 059817', 'Singapore']",4.0,23.0,$$$,59817
4,8 Korean BBQ,met group friends dinner monday night us shared eight flavors set meal thats different flavors pork belly,korean,1.28870697782558,103.846671421056,"['6 Eu Tong Sen Street', '#02-70/90', 'Singapore 059817', 'Singapore']",4.0,23.0,$$$,59817
5,8 Korean BBQ,maybe bbqgrill meat better option order focus army stewapparently places army stew big,korean,1.28870697782558,103.846671421056,"['6 Eu Tong Sen Street', '#02-70/90', 'Singapore 059817', 'Singapore']",4.0,23.0,$$$,59817
9,8 Korean BBQ,surprisingly korean bbq originated heart korea town los angeles california america first outlet singapore opened,korean,1.28870697782558,103.846671421056,"['6 Eu Tong Sen Street', '#02-70/90', 'Singapore 059817', 'Singapore']",4.0,23.0,$$$,59817
10,8 Korean BBQ,unlike different pork offerings beef ordered argentine us ones marinated taste little bland stew,korean,1.28870697782558,103.846671421056,"['6 Eu Tong Sen Street', '#02-70/90', 'Singapore 059817', 'Singapore']",4.0,23.0,$$$,59817
11,8 Korean BBQ,best korean bbq sg love meat service really good side dishes many star pork soup also good,korean,1.28870697782558,103.846671421056,"['6 Eu Tong Sen Street', '#02-70/90', 'Singapore 059817', 'Singapore']",4.0,23.0,$$$,59817
33,A Noodle Story,ramen fan would like try alternative version one local twist like placethe dish blend,japanese,1.27911431717158,103.846893310547,"['7 Maxwell Rd', '#01-39', 'Singapore 069111', 'Singapore']",4.5,28.0,$,69111
34,A Noodle Story,singaporean ramen may dishes served noodle story fantastically unique worth time star,japanese,1.27911431717158,103.846893310547,"['7 Maxwell Rd', '#01-39', 'Singapore 069111', 'Singapore']",4.5,28.0,$,69111
35,A Noodle Story,noodle story might favorite stall singapore heard wait long got waited mins order,japanese,1.27911431717158,103.846893310547,"['7 Maxwell Rd', '#01-39', 'Singapore 069111', 'Singapore']",4.5,28.0,$,69111
63,Absolute Thai,bottom line simple straightforward thai restaurant thatll leave satisfiedthe setting pretty nice food satisfying curries,thai,1.280475,103.853551,"['Marina Bay Link Mall, 8A Marina Boulevard', '#B2-16/17', 'Singapore 018984', 'Singapore']",3.0,7.0,$$,18984
64,Absolute Thai,usually super long queue restaurants work days marina bay unless youre going early expect wait,thai,1.280475,103.853551,"['Marina Bay Link Mall, 8A Marina Boulevard', '#B2-16/17', 'Singapore 018984', 'Singapore']",3.0,7.0,$$,18984
65,Absolute Thai,got line restaurant empty however left quite line outsidei got red,thai,1.280475,103.853551,"['Marina Bay Link Mall, 8A Marina Boulevard', '#B2-16/17', 'Singapore 018984', 'Singapore']",3.0,7.0,$$,18984
66,Afterwit,best mexican restaurant ive found singapore ive tried lot used live texas nc bit bit higher expectations,mexican,1.30354,103.85992,"['778 North Bridge Rd', 'Singapore 198746', 'Singapore']",4.0,6.0,$$,198746
