,Unnamed: 0_x,Unnamed: 0.1,name,id,review,Unnamed: 0_y,cuisine,latitude,longitude,address,rating,review_count,price
0,0.0,0.0,Sungei Road Laksa,xsaHJx_tkVj1RArC2Fr3PA,food phenomenal laksa awesome cheap yet heavy,0,singaporean,1.3067340360828,103.857772350311,"['27 Jalan Berseh', '#01-100, Jin Shui Kopitiam', 'Singapore 200027', 'Singapore']",4.5,70,$
1,1.0,1.0,Sungei Road Laksa,xsaHJx_tkVj1RArC2Fr3PA,laksa popular southeast asia spicy noodle soup rice noodle coconut milk curry soup im big fan curry try,0,singaporean,1.3067340360828,103.857772350311,"['27 Jalan Berseh', '#01-100, Jin Shui Kopitiam', 'Singapore 200027', 'Singapore']",4.5,70,$
2,2.0,2.0,Sungei Road Laksa,xsaHJx_tkVj1RArC2Fr3PA,laska thing trying still thing love noodles soup prefer simpler clear broth although im fan,0,singaporean,1.3067340360828,103.857772350311,"['27 Jalan Berseh', '#01-100, Jin Shui Kopitiam', 'Singapore 200027', 'Singapore']",4.5,70,$
30,12.0,12.0,328 Katong Laksa,2tGFUtUrE0DhwlX59pbArA,go visit homesingapore traditional nonya laksa survived generations last stall standing katong compared back,1,singaporean,1.3051,103.90318,"['51 East Coast Rd', 'Singapore 428770', 'Singapore']",4.0,86,$
31,13.0,13.0,328 Katong Laksa,2tGFUtUrE0DhwlX59pbArA,april first time trying laksa bit spicy dont skip lime juice noodles cut small pieces im usually,1,singaporean,1.3051,103.90318,"['51 East Coast Rd', 'Singapore 428770', 'Singapore']",4.0,86,$
32,14.0,14.0,328 Katong Laksa,2tGFUtUrE0DhwlX59pbArA,friend took katong laksa first trip singapore back november boy blown mind katong laksa,1,singaporean,1.3051,103.90318,"['51 East Coast Rd', 'Singapore 428770', 'Singapore']",4.0,86,$
57,3.0,3.0,A Noodle Story,KsHdXhRdu9UzjZXO7g9BHg,ramen fan would like try alternative version one local twist like placethe dish blend,2,singaporean,1.27911431717158,103.846893310547,"['7 Maxwell Rd', '#01-39', 'Singapore 069111', 'Singapore']",4.5,28,$
58,4.0,4.0,A Noodle Story,KsHdXhRdu9UzjZXO7g9BHg,singaporean ramen may dishes served noodle story fantastically unique worth time star,2,singaporean,1.27911431717158,103.846893310547,"['7 Maxwell Rd', '#01-39', 'Singapore 069111', 'Singapore']",4.5,28,$
59,5.0,5.0,A Noodle Story,KsHdXhRdu9UzjZXO7g9BHg,noodle story might favorite stall singapore heard wait long got waited mins order,2,singaporean,1.27911431717158,103.846893310547,"['7 Maxwell Rd', '#01-39', 'Singapore 069111', 'Singapore']",4.5,28,$
87,6.0,6.0,Song Fa Bak Kut Teh,CdAmgWWCabZQoYNNWOKcEw,best bak kut teh porkrib soup singapore many good food singapore hard say one best however ask bak kut,3,singaporean,1.28897,103.84774,"['11 New Bridge Rd', '#01-01', 'Singapore 059383', 'Singapore']",4.0,135,$
