name,cuisine,latitude,longitude,address,rating,review_count,price,cafe,food_court,halal,vegetarian,wheelchair_accessible
Coffee Lounge,Singaporean,1.308435,103.833928,"['22 Scotts Rd', 'Singapore 228221', 'Singapore']",4.5,4,$$$,FALSE,FALSE,FALSE,TRUE,FALSE
Happy Crab,Singaporean,1.3022323,103.8610412,"['13 Pahang St', 'Singapore 198613', 'Singapore']",4.5,11,$$$,FALSE,FALSE,FALSE,TRUE,FALSE
National Kitchen By Violet Oon,Singaporean,1.290618,103.851938,"[""1 St Andrew's Rd"", '#02-01', 'Singapore 178957', 'Singapore']",4.5,38,$$$,FALSE,FALSE,FALSE,FALSE,FALSE
San Laksa Steamboat,Singaporean,1.30988,103.85699,"['147 Kitchener Road', 'Singapore 208524', 'Singapore']",4,8,$$$,FALSE,FALSE,FALSE,TRUE,FALSE
Cin Cin,Singaporean,1.275907433,103.8446534,"['100 Peck Seah St', '#01-02', 'Singapore 079333', 'Singapore']",4,3,$$$,FALSE,FALSE,FALSE,TRUE,FALSE
The Peranakan,Singaporean,1.307166193,103.8286007,"['442 Orchard Rd', '#02-01, Orchard Hotel, Claymore Connect', 'Singapore 238879', 'Singapore']",3,13,$$$,FALSE,FALSE,FALSE,TRUE,FALSE
Big Street,Singaporean,1.30619,103.85597,"['104/106 Jalan Besar', 'Singapore 208828', 'Singapore']",4,3,$$$,FALSE,FALSE,FALSE,TRUE,TRUE
Folklore,Singaporean,1.302405402,103.864042,"['700 Beach Rd', 'Level 2', 'Singapore 199598', 'Singapore']",3.5,10,$$$,FALSE,FALSE,FALSE,FALSE,FALSE
Joie By Dozo,Singaporean,1.301571555,103.8388208,"['181 Orchard Rd', '#12-01', 'Singapore 238896', 'Singapore']",4.5,21,$$$,FALSE,FALSE,FALSE,FALSE,FALSE
Chin Huat Live Seafood,Singaporean,1.322290697,103.7695743,"['Blk 105 Clementi St 12', '#01-30', 'Singapore 120105', 'Singapore']",4.5,18,$$$,FALSE,FALSE,FALSE,FALSE,FALSE
The East Bureau,Singaporean,1.290562905,103.8566192,"['6 Raffles Boulevard', '#03-03', 'Singapore 039594', 'Singapore']",2,1,$$$,FALSE,FALSE,FALSE,FALSE,FALSE
Privé CHIJMES,Singaporean,1.294728,103.85224,"['30 Victoria St', '#01-33', 'Chijmes Courtyard', 'Singapore 187996', 'Singapore']",3,18,$$$,FALSE,FALSE,FALSE,FALSE,FALSE
Hot Stones Steak & Seafood,Singaporean,1.2899801,103.8455811,"['3D River Valley Road', '#01-06', 'Singapore 179023', 'Singapore']",2,4,$$$,FALSE,FALSE,FALSE,FALSE,FALSE
Durian Stall At Dempsey,Singaporean,1.30475,103.8089981,"['7 Dempsey Road', 'Singapore 249671', 'Singapore']",4,6,$$$,FALSE,FALSE,FALSE,FALSE,FALSE
Hopscotch Bar,Singaporean,1.275856,103.8042542,"['45 Malan Road', 'Gillman Barracks', 'Red Dot Traffic Building', 'Singapore 109455', 'Singapore']",4.5,7,$$$,FALSE,FALSE,FALSE,FALSE,TRUE
Shashlik,Singaporean,1.30539,103.8302,"['545 Orchard Rd', '#06-19', 'Singapore 238882', 'Singapore']",3,13,$$$,FALSE,FALSE,FALSE,FALSE,FALSE
Renn Thai Restaurant Clarke Quay,Thai,1.28965529,103.8457142,"['3D River Valley Rd', '#01-05', 'Clarke Quay 179024', 'Singapore']",3.5,7,$$$,FALSE,FALSE,FALSE,FALSE,FALSE
Nakhon Kitchen,Thai,1.275455118,103.7949755,"['87 Pasir Panjang Rd', 'Singapore 118510', 'Singapore']",4,3,$$$,FALSE,FALSE,FALSE,FALSE,FALSE
Sabai,Thai,1.282773825,103.8533491,"['70 Collyer Quay', '#01-02 Customs House', 'Singapore 049326', 'Singapore']",3.5,7,$$$,FALSE,FALSE,FALSE,FALSE,FALSE
Yhingthai Palace,Thai,1.29656,103.85496,"['36 Purvis St', '#01-04', 'Singapore 188613', 'Singapore']",4,17,$$$,FALSE,FALSE,FALSE,FALSE,FALSE
Thai Thai,Thai,1.29017,103.8519974,"['Orchard Road 333A', '03 Mandarin Gallery', 'Singapore', 'Singapore']",4,1,$$$,FALSE,FALSE,FALSE,FALSE,FALSE
