,name,cuisine,latitude,longitude,address,rating,review_count,price
0,Sungei Road Laksa,singaporean,1.3067340360828,103.857772350311,"['27 Jalan Berseh', '#01-100, Jin Shui Kopitiam', 'Singapore 200027', 'Singapore']",4.5,70,$
1,328 Katong Laksa,singaporean,1.3051,103.90318,"['51 East Coast Rd', 'Singapore 428770', 'Singapore']",4.0,86,$
2,A Noodle Story,singaporean,1.27911431717158,103.846893310547,"['7 Maxwell Rd', '#01-39', 'Singapore 069111', 'Singapore']",4.5,28,$
3,Song Fa Bak Kut Teh,singaporean,1.28897,103.84774,"['11 New Bridge Rd', '#01-01', 'Singapore 059383', 'Singapore']",4.0,135,$
4,Song Fa Bak Kut Teh,singaporean,1.28509935709304,103.844663791402,"['133 New Bridge Rd', '#01-04', 'Singapore 059413', 'Singapore']",4.5,39,$
5,Lao You Xuan Noodle Kitchen,singaporean,1.29525,103.82981,"['413 River Valley Rd', 'Singapore 248311', 'Singapore']",5.0,1,$
6,Food Republic,singaporean,1.29791195619858,103.849930517083,"['51 Bras Basah Rd', '#01-03, Manulife Centre', 'Singapore 189554', 'Singapore']",3.0,8,$
7,Jian Bo Shui Kueh,singaporean,1.284768,103.832378,"['30 Seng Poh Rd', '#02-05', 'Singapore 168898', 'Singapore']",4.5,16,$
8,Outram Park Fried Kway Teow Mee,singaporean,1.285331,103.845857,"['531A Upper Cross St', '#02-17', 'Hong Lim Food Center', 'Singapore 051531', 'Singapore']",4.5,27,$
9,Ponggol Nasi Lemak,singaporean,1.30675,103.89545,"['238 Tanjong Katong Rd', 'Singapore 437026', 'Singapore']",4.0,13,$
10,Luk Lu Eating House,singaporean,1.30135785602552,103.861518626761,"['341 Beach Road', 'Singapore 199567', 'Singapore']",5.0,1,$
11,Lao Zhong Zhong Eating House,singaporean,1.32906,103.8697891,"['29 Tai Thong Crescent', 'Singapore 347858', 'Singapore']",4.0,2,$
12,Jalan Sultan Prawn Mee,singaporean,1.31123495101929,103.872688293457,"['2 Jalan Ayer', 'Singapore 389141', 'Singapore']",4.5,5,$
13,No. 18 Zion Road Char Kway Teow,singaporean,1.292586,103.831163,"['70 Zion Rd', '#01-17, Zion Road Riverside Food Centre', 'Singapore 247792', 'Singapore']",4.0,20,$
14,Bernard's Kitchen,singaporean,1.28184,103.8293381,"['127 Kim Tian Road', 'Singapore 160127', 'Singapore']",4.0,1,$
15,Sin Heng Kee Porridge,singaporean,1.375019772046,103.885815554213,"['685 Hougang Street 61', '#01-150', 'Singapore 530685', 'Singapore']",5.0,10,$
16,Metropolitan YMCA Restaurant,singaporean,1.316545,103.826449,"['60 Stevens Rd', 'Singapore 257854', 'Singapore']",4.0,2,$
17,Mount Faber Nasi Lemak,singaporean,1.2810565,103.8420766,"['47 Kreta Ayer Rd', 'Singapore 089006', 'Singapore']",4.5,4,$
18,Queensway Famous Curry Chicken,singaporean,1.2876199,103.80336,"['1 Queensway', '#01-60', 'Singapore 149053', 'Singapore']",4.5,4,$
19,Goldhill Family Restruant,singaporean,1.36255497646059,103.894035192762,"['6 Hougang Ave 3', '#01-78', 'Singapore 530006', 'Singapore']",5.0,1,$
20,Jiak Pa Lang Eating House,singaporean,1.27498608203419,103.801351077855,"['456 Alexandra Rd', '#01-06', 'Singapore 119962', 'Singapore']",4.0,1,$
21,Ye Shang Hai Teochew Porridge,singaporean,1.2873845,103.813432,"['55 Lengkok Bahru', '#01-387', 'Singapore 151055', 'Singapore']",3.5,8,$
22,Public House,singaporean,1.28631,103.8492889,"['42 Circular Road', 'Singapore 049398', 'Singapore']",4.5,2,$
23,Teochew Handmade Pau,singaporean,1.3380899,103.8442917,"['Blk 127 Toa Payoh Lor 1', '#02-02', 'Singapore 310127', 'Singapore']",4.0,7,$
24,The Gallerie Food Court,singaporean,1.2912199,103.8578033,"['6 Raffles Boulevard Marina Square Shopping Centre', '#04-101/102', 'Singapore 039594', 'Singapore']",3.5,3,$
25,Blanco Court Fish Bee Hoon,singaporean,1.30132,103.8615875,"['Luk Lu Eating House', '341 Beach Road', 'Singapore 199567', 'Singapore']",4.0,9,$
26,Feng Kee Hainanese Curry Rice,singaporean,1.27593,103.79134,"['121 Pasir Panjang Road', '#01-41,  Pasir Panjiang Food Centre', 'Singapore 118543', 'Singapore']",4.0,1,$
27,136 Hong Kong Street Fish Head Steamboat,singaporean,1.28145,103.845,"['291 South Bridge Rd', 'Singapore 058836', 'Singapore']",3.5,5,$
28,1983 - A Taste Of Nanyang,singaporean,1.31680223211053,103.91350823291,"['60 Changi Boulevard', 'Changi Airport Terminal 1 Departure Hall', 'Singapore 419712', 'Singapore']",4.0,4,$
29,Sin Heng Claypot Bak Koot Teh,singaporean,1.30715,103.90434,"['439 Joo Chiat Rd', 'Singapore 427652', 'Singapore']",3.5,15,$
30,Babalicious,singaporean,1.301237,103.912944,"['1000 East Coast Parkway', '#01-02', 'Marine Cove', 'Singapore 449876', 'Singapore']",4.0,1,$
31,Ah Hoe Mee Pok,singaporean,1.30624269872495,103.761556229333,"['Block 710 Clementi West St 2', 'Weng Kwang Coffee House', 'Singapore 120710', 'Singapore']",4.0,11,$
32,Tian Tian Hainanese Chicken Rice,singaporean,1.33357,103.9481888,"['12 Jalan Pari Burong', 'Picardy Garden', 'Singapore 488678', 'Singapore']",3.5,4,$
33,Dunman Duckrice,singaporean,1.3099999,103.9009628,"['271 Onan Road', 'Stall 10', 'Singapore 424768', 'Singapore']",3.5,2,$
34,Soon Heng Silver Stream Rojak,singaporean,1.33217445294703,103.847952121755,"['480 Lor 6 Toa Payoh', '#B1-23, HDB Hub, Gourmet Paradise Food Court', 'Singapore 310480', 'Singapore']",3.5,9,$
35,Lao Fu Zi Fried Kway Teow,singaporean,1.307976,103.885398,"['51 Old Airport Rd', '#01-12', 'Singapore 390051', 'Singapore']",3.5,12,$
36,Asam Laksa,singaporean,1.30377,103.7645,"['726 Clementi West St 2', '#01-138', 'Singapore 120726', 'Singapore']",3.5,2,$
37,Wang Jiao Handmade Noodle,singaporean,1.30373912117701,103.764566928148,"['726 Clementi West St 2', '#01-193', 'Singapore 120726', 'Singapore']",5.0,1,$
38,Thai Pan Restaurant,singaporean,1.308075,103.924352,"['13 Siglap Road', 'Mandarin Gardens', 'Singapore 448912', 'Singapore']",5.0,4,$
39,Seng Huat Homemade Fried Carrot Cake,singaporean,1.3427937,103.7372793,"['Blk 254, Jurong East Street 24', '#01-48', 'Singapore 600254', 'Singapore']",5.0,1,$
40,Song Fa Bak Kut Teh,singaporean,1.33574,103.9634094,"['UE Bizhub East - North Tower East', '6 Changi Business Park Ave 1', 'Singapore 486017', 'Singapore']",4.0,9,$
41,Rocky Master,singaporean,1.2965802,103.8543779,"['402 North Bridge Road', '#01-00', 'Jun Xin Building', 'Singapore 188722', 'Singapore']",3.5,4,$
42,Yummi Chiffon,singaporean,1.2767,103.8465,"['120 Maxwell Rd', '#B1-04', 'Singapore 069119', 'Singapore']",3.5,3,$
43,Whampoa Satay Bee Hoon,singaporean,1.32289127903562,103.854930725342,"['90 Whampoa Drive', '#01-38, Whampoa Makan Place', 'Singapore 320090', 'Singapore']",4.0,1,$
